Column1;Column2;Column3
model_name;accuracy;training_time
ccn_classic_like_AlexNet;0.6705;3356.41
ccn_classic_like_vgg;0.3239;8970.46
ccn_classic_like_mini_ResNet;0.7216;2347.20
ccn_classic_like_vgg2;0.767;3784.85
ccn_classic_like_vgg2_alt1;0.6648;1846.21
ccn_classic_like_vgg2_alt2;0.858;6039.09
ccn_classic_like_vgg2_alt3;0.9148;6130.92
ccn_classic_like_vgg2_alt4;0.9261;9331.84
ccn_classic_like_vgg2_alt5;0.983;17708.52
model_resnet152;0.7557;6634.33
model_resnet152_l4;0.9375;5360.95
model_efficientnet_b7;0.9489;7055.71
model_efficientnet_b7_l8_72;0.9205;7269.77
model_efficientnet_b6;0.7727;6921.49
model_efficientnet_b6_alt4;0.7159;11002.15
model_efficientnet_b6_alt5;0.8352;35240.44
model_efficientnet_b7_l8_72_alt5;0.9943;522220222.0
